Date UTC,site-Jaguar 1-Pset (mean),site-Jaguar 1-UnitsOnline (mean),site-Jaguar 1-BESSkW (mean),site-Jaguar 1-AllowedMaxP (mean),site-Jaguar 1-AllowedMinP (mean),site-Jaguar 1-PCS_P (mean),meter-Jaguar 1-kW (mean),meter-Jaguar 1-kVAR (mean),meter-Jaguar 1-Voltage (mean),meter-Jaguar 1-PF (mean),meter-Jaguar 1-Hz (mean),site-Jaguar 1-Qset (mean),site-Jaguar 1-PCS_Q (mean),site-Jaguar 1-AllowedMaxQ (mean),site-Jaguar 1-AllowedMinQ (mean),site-Jaguar 1-HS-CONTROL-P (mean),site-Jaguar 1-HS-CONTROL-Q (mean),site-Jaguar 1-RTAC_P (mean),site-Jaguar 1-RTAC_Q (mean)
2025-08-14T19:01:44.000+00:00,0,42,64,150000,-150000,0,723.265564,-147.713654,354.755941,0.428397,60.01627,0,-253.573423,144561.632,-144561.632,0,-254.60233849999995,0,10
2025-08-14T19:01:45.000+00:00,0,42,64,150000,-150000,0,723.265564,-147.713654,354.718363,0.428397,60.01627,0,-255.96494,144593.192,-144593.192,0,-256.11456556666667,0,10
2025-08-14T19:01:46.000+00:00,0,42,80,150000,-150000,0,735.317932,-136.802322,354.898081,0.428397,60.01627,0,-255.141825,144558.6864,-144558.6864,0,-255.8887512258065,0,10
2025-08-14T19:01:47.000+00:00,0,42,72,150000,-150000,0,735.317932,-136.802322,354.64741,0.428397,60.01627,0,-256.318187,144513.24,-144513.24,0,-256.61959586666666,0,10
2025-08-14T19:01:48.000+00:00,0,42,66,150000,-150000,0,735.317932,-148.91568,354.681183,0.428397,60.01627,0,-254.705054,144525.864,-144525.864,0,-254.14416210000002,0,10
2025-08-14T19:01:49.000+00:00,0,42,65,150000,-150000,0,735.317932,-148.91568,354.693797,0.428397,60.01627,0,-252.554953,144574.6768,-144574.6768,0,-251.4388120967742,0,10
2025-08-14T19:01:50.000+00:00,0,42,59,150000,-150000,0,735.317932,-148.91568,354.947052,0.428397,60.01627,0,-248.112045,144574.256,-144574.256,0,-247.0826368333333,0,10
2025-08-14T19:01:51.000+00:00,0,42,59,150000,-150000,0,735.317932,-148.91568,354.947052,0.428397,60.01627,0,-248.112045,144574.256,-144574.256,0,-244.06505516666664,0,10
2025-08-14T19:01:52.000+00:00,0,42,60,150000,-150000,0,735.317932,-148.91568,354.777649,0.428397,60.01627,0,-242.542841,144571.7312,-144571.7312,0,-243.65988407999998,0,10
2025-08-14T19:01:53.000+00:00,0,42,57,150000,-150000,0,735.317932,-148.91568,354.69283,0.428397,60.01627,0,-239.573853,144568.3648,-144568.3648,0,-239.06003300000003,0,10
2025-08-14T19:01:54.000+00:00,0,42,56,150000,-150000,0,735.317932,-148.91568,354.81542,0.428397,60.01627,0,-241.50035,144537.6464,-144537.6464,0,-240.33577683333334,0,10
2025-08-14T19:01:55.000+00:00,0,42,57,150000,-150000,0,735.317932,-148.91568,354.591431,0.428397,60.01627,0,-240.353683,144519.552,-144519.552,0,-241.35412,0,10
2025-08-14T19:01:56.000+00:00,0,42,59,150000,-150000,0,735.317932,-148.91568,354.821126,0.428397,60.01627,0,-245.560855,144527.5472,-144527.5472,0,-246.56820553333336,0,10
2025-08-14T19:01:57.000+00:00,0,42,60,150000,-150000,0,735.317932,-148.91568,354.672231,0.428397,60.01627,0,-245.90665,144546.4832,-144546.4832,0,-247.33218390000002,0,10
2025-08-14T19:01:58.000+00:00,0,42,53,150000,-150000,0,735.317932,-148.91568,354.793009,0.428397,60.01627,0,-250.324975,144566.6816,-144566.6816,0,-250.7798879333333,0,10
2025-08-14T19:01:59.000+00:00,0,42,50,150000,-150000,0,735.317932,-148.91568,354.793009,0.428397,60.01627,0,-250.965461,144539.7504,-144539.7504,0,-250.88089921739132,0,10
2025-08-14T19:02:00.000+00:00,0,42,38,150000,-150000,0,735.317932,-148.91568,354.689982,0.428397,60.01627,0,-249.052728,144554.4784,-144554.4784,0,-250.88089921739132,0,10
2025-08-14T19:02:01.000+00:00,0,42,43,150000,-150000,0,735.317932,-148.91568,354.766937,0.428397,60.01627,0,-245.910457,144535.9632,-144535.9632,0,-244.5406442857143,0,10
2025-08-14T19:02:02.000+00:00,0,42,44,150000,-150000,0,744.44751,-149.74646,354.671193,0.438258,60.017136,0,-243.070843,144515.7648,-144515.7648,0,-244.0157956774194,0,10
2025-08-14T19:02:03.000+00:00,0,42,47,150000,-150000,0,744.44751,-149.74646,354.671193,0.438258,60.017136,0,-245.665665,144517.8688,-144517.8688,0,-245.352294625,0,10
2025-08-14T19:02:04.000+00:00,0,42,47,150000,-150000,0,744.44751,-149.74646,354.671193,0.438258,60.017136,0,-245.665665,144517.8688,-144517.8688,0,-244.31056619047618,0,10
2025-08-14T19:02:05.000+00:00,0,42,39,150000,-150000,0,739.831177,-149.74646,354.737539,0.439397,60.017136,0,-242.856297,144523.3392,-144523.3392,0,-243.23480454166668,0,10
2025-08-14T19:02:06.000+00:00,0,42,39,150000,-150000,0,739.831177,-149.74646,354.737539,0.439397,60.017136,0,-242.856297,144523.3392,-144523.3392,0,-247.5963686956522,0,10
2025-08-14T19:02:07.000+00:00,0,42,40,150000,-150000,0,750.786499,-149.74646,354.71108,0.439397,60.017136,0,-245.426797,144595.296,-144595.296,0,-243.6880479333333,0,10
2025-08-14T19:02:08.000+00:00,0,42,41,150000,-150000,0,750.786499,-149.74646,354.804352,0.439397,60.017136,0,-242.297508,144581.4096,-144581.4096,0,-243.76935143333327,0,10
2025-08-14T19:02:09.000+00:00,0,42,39,150000,-150000,0,750.786499,-149.74646,354.804352,0.439397,60.017136,0,-242.627782,144567.944,-144567.944,0,-245.49374432258065,0,10
2025-08-14T19:02:10.000+00:00,0,42,46,150000,-150000,0,750.786499,-149.74646,354.871541,0.439397,60.017136,0,-247.555292,144517.0272,-144517.0272,0,-248.73379353333337,0,10
2025-08-14T19:02:11.000+00:00,0,42,52,150000,-150000,0,750.786499,-149.74646,354.606049,0.439397,60.017136,0,-250.257168,144549.008,-144549.008,0,-252.33345356666666,0,10
2025-08-14T19:02:12.000+00:00,0,42,52,150000,-150000,0,750.786499,-149.74646,354.672251,0.439397,60.017136,0,-255.569779,144557.0032,-144557.0032,0,-254.82776729032256,0,10
2025-08-14T19:02:13.000+00:00,0,42,49,150000,-150000,0,739.364136,-149.74646,354.713379,0.439397,60.017136,0,-256.053388,144567.944,-144567.944,0,-258.2226377666667,0,10
2025-08-14T19:02:14.000+00:00,0,42,48,150000,-150000,0,739.364136,-149.74646,354.751567,0.439397,60.017136,0,-256.448588,144530.4928,-144530.4928,0,-256.1996806,0,10
2025-08-14T19:02:15.000+00:00,0,42,48,150000,-150000,0,739.364136,-149.74646,354.751567,0.439397,60.017136,0,-256.448588,144530.4928,-144530.4928,0,-250.55372996000006,0,10
2025-08-14T19:02:16.000+00:00,0,42,55,150000,-150000,0,749.377686,-137.212189,354.689382,0.439397,60.017136,0,-250.630053,144511.5568,-144511.5568,0,-246.17174789999996,0,10
2025-08-14T19:02:17.000+00:00,0,42,61,150000,-150000,0,749.377686,-137.212189,354.725515,0.439397,60.017136,0,-244.834828,144498.9328,-144498.9328,0,-244.46227925,0,10
2025-08-14T19:02:18.000+00:00,0,42,52,150000,-150000,0,749.377686,-137.212189,354.638529,0.439397,60.017136,0,-244.250149,144530.072,-144530.072,0,-244.46227925,0,10
2025-08-14T19:02:19.000+00:00,0,42,49,150000,-150000,0,749.377686,-147.215256,354.687866,0.439397,60.017136,0,-242.658579,144561.632,-144561.632,0,-240.460212375,0,10
2025-08-14T19:02:20.000+00:00,0,42,48,150000,-150000,0,749.377686,-147.215256,354.750804,0.439397,60.017136,0,-241.288066,144566.6816,-144566.6816,0,-237.49475996666663,0,10
2025-08-14T19:02:21.000+00:00,0,42,49,150000,-150000,0,749.377686,-147.215256,354.780416,0.439397,60.017136,0,-238.929211,144537.6464,-144537.6464,0,-236.99600953333336,0,10
2025-08-14T19:02:22.000+00:00,0,42,48,150000,-150000,0,749.377686,-147.215256,354.681091,0.439397,60.017136,0,-237.770161,144549.008,-144549.008,0,-235.64157357142858,0,10
2025-08-14T19:02:23.000+00:00,0,42,51,150000,-150000,0,766.24353,-134.30545,354.810598,0.439397,60.017136,0,-233.797731,144536.384,-144536.384,0,-234.01633006666668,0,10
2025-08-14T19:02:24.000+00:00,0,42,50,150000,-150000,0,766.24353,-152.249405,354.663401,0.439397,60.017136,0,-231.898004,144574.256,-144574.256,0,-231.9042269333334,0,10
